hog_input_img,rotXdeg,rotYdeg,rotZdeg,distX,distY,distZ,f
hog_input_1,5,90,125,450,80,850,3000
hog_input_2,5,90,125,450,80,850,3100
hog_input_3,5,90,125,450,80,850,3200
hog_input_4,5,90,125,450,80,850,3300
hog_input_5,5,90,125,450,80,850,3400
hog_input_6,5,90,125,450,80,850,3500
hog_input_7,5,90,125,450,80,850,3600
hog_input_8,5,90,125,450,80,850,3700
hog_input_9,5,90,125,450,80,850,3800
hog_input_10,5,90,125,450,80,850,3900
hog_input_11,5,90,125,450,80,860,3000
hog_input_12,5,90,125,450,80,860,3100
hog_input_13,5,90,125,450,80,860,3200
hog_input_14,5,90,125,450,80,860,3300
hog_input_15,5,90,125,450,80,860,3400
hog_input_16,5,90,125,450,80,860,3500
hog_input_17,5,90,125,450,80,860,3600
hog_input_18,5,90,125,450,80,860,3700
hog_input_19,5,90,125,450,80,860,3800
hog_input_20,5,90,125,450,80,860,3900
hog_input_21,5,90,125,450,80,870,3000
hog_input_22,5,90,125,450,80,870,3100
hog_input_23,5,90,125,450,80,870,3200
hog_input_24,5,90,125,450,80,870,3300
hog_input_25,5,90,125,450,80,870,3400
hog_input_26,5,90,125,450,80,870,3500
hog_input_27,5,90,125,450,80,870,3600
hog_input_28,5,90,125,450,80,870,3700
hog_input_29,5,90,125,450,80,870,3800
hog_input_30,5,90,125,450,80,870,3900
hog_input_31,5,90,125,450,80,880,3000
hog_input_32,5,90,125,450,80,880,3100
hog_input_33,5,90,125,450,80,880,3200
hog_input_34,5,90,125,450,80,880,3300
hog_input_35,5,90,125,450,80,880,3400
hog_input_36,5,90,125,450,80,880,3500
hog_input_37,5,90,125,450,80,880,3600
hog_input_38,5,90,125,450,80,880,3700
hog_input_39,5,90,125,450,80,880,3800
hog_input_40,5,90,125,450,80,880,3900
hog_input_41,5,90,125,450,80,890,3000
hog_input_42,5,90,125,450,80,890,3100
hog_input_43,5,90,125,450,80,890,3200
hog_input_44,5,90,125,450,80,890,3300
hog_input_45,5,90,125,450,80,890,3400
hog_input_46,5,90,125,450,80,890,3500
hog_input_47,5,90,125,450,80,890,3600
hog_input_48,5,90,125,450,80,890,3700
hog_input_49,5,90,125,450,80,890,3800
hog_input_50,5,90,125,450,80,890,3900
hog_input_51,5,90,125,450,80,900,3000
hog_input_52,5,90,125,450,80,900,3100
hog_input_53,5,90,125,450,80,900,3200
hog_input_54,5,90,125,450,80,900,3300
hog_input_55,5,90,125,450,80,900,3400
hog_input_56,5,90,125,450,80,900,3500
hog_input_57,5,90,125,450,80,900,3600
hog_input_58,5,90,125,450,80,900,3700
hog_input_59,5,90,125,450,80,900,3800
hog_input_60,5,90,125,450,80,900,3900
hog_input_61,5,90,125,450,80,910,3000
hog_input_62,5,90,125,450,80,910,3100
hog_input_63,5,90,125,450,80,910,3200
hog_input_64,5,90,125,450,80,910,3300
hog_input_65,5,90,125,450,80,910,3400
hog_input_66,5,90,125,450,80,910,3500
hog_input_67,5,90,125,450,80,910,3600
hog_input_68,5,90,125,450,80,910,3700
hog_input_69,5,90,125,450,80,910,3800
hog_input_70,5,90,125,450,80,910,3900
hog_input_71,5,90,125,450,80,920,3000
hog_input_72,5,90,125,450,80,920,3100
hog_input_73,5,90,125,450,80,920,3200
hog_input_74,5,90,125,450,80,920,3300
hog_input_75,5,90,125,450,80,920,3400
hog_input_76,5,90,125,450,80,920,3500
hog_input_77,5,90,125,450,80,920,3600
hog_input_78,5,90,125,450,80,920,3700
hog_input_79,5,90,125,450,80,920,3800
hog_input_80,5,90,125,450,80,920,3900
hog_input_81,5,90,125,450,80,930,3000
hog_input_82,5,90,125,450,80,930,3100
hog_input_83,5,90,125,450,80,930,3200
hog_input_84,5,90,125,450,80,930,3300
hog_input_85,5,90,125,450,80,930,3400
hog_input_86,5,90,125,450,80,930,3500
hog_input_87,5,90,125,450,80,930,3600
hog_input_88,5,90,125,450,80,930,3700
hog_input_89,5,90,125,450,80,930,3800
hog_input_90,5,90,125,450,80,930,3900
hog_input_91,5,90,125,450,80,940,3000
hog_input_92,5,90,125,450,80,940,3100
hog_input_93,5,90,125,450,80,940,3200
hog_input_94,5,90,125,450,80,940,3300
hog_input_95,5,90,125,450,80,940,3400
hog_input_96,5,90,125,450,80,940,3500
hog_input_97,5,90,125,450,80,940,3600
hog_input_98,5,90,125,450,80,940,3700
hog_input_99,5,90,125,450,80,940,3800
hog_input_100,5,90,125,450,80,940,3900
hog_input_101,5,90,125,450,83,850,3000
hog_input_102,5,90,125,450,83,850,3100
hog_input_103,5,90,125,450,83,850,3200
hog_input_104,5,90,125,450,83,850,3300
